"temp","mltss","sludge_prod"
15.1,3575,2457.21622831026
15.1,3600,2452.50389729534
15.1,3625,2447.82734083799
15.1,3650,2443.18612063759
15.1,3675,2438.58009351103
15.1,3700,2434.00901982259
15.1,3725,2429.47265036257
15.1,3750,2424.97075412336
15.1,3775,2420.50306276845
15.1,3800,2416.06933484077
15.1,3825,2411.66931310908
15.1,3850,2407.30273663296
15.1,3875,2402.96935462432
15.1,3900,2398.66891748416
15.1,3925,2394.40114471078
15.1,3950,2390.16577916607
15.1,3975,2385.96258053108
15.1,4000,2381.79125906448
15.2,2500,2685.64050659044
15.2,2525,2679.71341672842
15.2,2550,2673.75381649512
15.2,2575,2667.7735849127
15.2,2600,2661.78235396611
15.2,2625,2655.7881654598
15.2,2650,2649.79768503218
15.2,2675,2643.81648160186
15.2,2700,2637.8492269788
15.2,2725,2631.89985829512
15.2,2750,2625.9717063877
15.2,2775,2620.06758771136
15.2,2800,2614.18991934073
15.2,2825,2608.34072075685
15.2,2850,2602.52173189317
15.2,2875,2596.73443083021
15.2,2900,2590.98007204653
15.2,2925,2585.25972205586
15.2,2950,2579.57428184336
15.2,2975,2573.92451402853
15.2,3000,2568.31105100779
15.2,3025,2562.73442464312
15.2,3050,2557.19509333185
15.2,3075,2551.69326495699
15.2,3100,2546.22952483729
15.2,3125,2540.80382912839
15.2,3150,2535.41640487015
15.2,3175,2530.06743441803
15.2,3200,2524.75687311699
15.2,3225,2519.48482685632
15.2,3250,2514.25129018841
15.2,3275,2509.05617602516
15.2,3300,2503.89947277652
15.2,3325,2498.78107122077
15.2,3350,2493.70086570249
15.2,3375,2488.65836355431
15.2,3400,2483.65433350964
15.2,3425,2478.68803854766
15.2,3450,2473.75915597594
15.2,3475,2468.86766431694
15.2,3500,2464.01336977262
15.2,3525,2459.19605868413
15.2,3550,2454.4155211988
15.2,3575,2449.67080375215
15.2,3600,2444.96381006419
15.2,3625,2440.29228774738
15.2,3650,2435.65702786365
15.2,3675,2431.05544066664
15.2,3700,2426.49130542156
15.2,3725,2421.9614922389
15.2,3750,2417.46653501995
15.2,3775,2413.00605860769
15.2,3800,2408.5799032124
15.2,3825,2404.18775789259
15.2,3850,2399.82937355466
15.2,3875,2395.50447492478
15.2,3900,2391.21279436843
15.2,3925,2386.95407297916
15.2,3950,2382.72800358084
15.2,3975,2378.53435351717
15.2,4000,2374.37284179609
15.3,2500,2678.93929485259
15.3,2525,2672.91859514169
15.3,2550,2666.87673435434
15.3,2575,2660.82376740917
15.3,2600,2654.7679662394
15.3,2625,2648.71612856116
15.3,2650,2642.67402398207
15.3,2675,2636.64637577333
15.3,2700,2630.63726505896
15.3,2725,2624.65007314492
15.3,2750,2618.68766610592
15.3,2775,2612.75249536621
15.3,2800,2606.84662771124
15.3,2825,2600.97182227233
15.3,2850,2595.12957548936
15.3,2875,2589.32113838466
15.3,2900,2583.54762786175
15.3,2925,2577.80990949567
15.3,2950,2572.10875839694
15.3,2975,2566.4448110967
15.3,3000,2560.81859457314
15.3,3025,2555.23054018452
15.3,3050,2549.68099683017
15.3,3075,2544.17023931718
15.3,3100,2538.69847773722
15.3,3125,2533.2658284184
15.3,3150,2527.87251087218
15.3,3175,2522.51845992754
15.3,3200,2517.2037457123
15.3,3225,2511.92837405786
15.3,3250,2506.69221660194
15.3,3275,2501.49529715261
15.3,3300,2496.33761661626
15.3,3325,2491.21863184157
15.3,3350,2486.13856679508
15.3,3375,2481.09723004879
15.3,3400,2476.09455944002
15.3,3425,2471.12986934032
15.3,3450,2466.20346676705
15.3,3475,2461.31498338756
15.3,3500,2456.46409285089
15.3,3525,2451.65085971595
15.3,3550,2446.87474490397
15.3,3575,2442.1356177537
15.3,3600,2437.43323894478
15.3,3625,2432.76699574292
15.3,3650,2428.13762353271
15.3,3675,2423.54545097701
15.3,3700,2418.98584756864
15.3,3725,2414.46323085705
15.3,3750,2409.97578919103
15.3,3775,2405.52318990991
15.3,3800,2401.10514933577
15.3,3825,2396.72118431817
15.3,3850,2392.37186501436
15.3,3875,2388.05605234919
15.3,3900,2383.77377233362
15.3,3925,2379.52457840126
15.3,3950,2375.30836882255
15.3,3975,2371.12481060646
15.3,4000,2366.97362522194
15.4,2500,2672.14536665499
15.4,2525,2666.04144805315
15.4,2550,2659.92618204246
15.4,2575,2653.80808715867
15.4,2600,2647.69421736661
15.4,2625,2641.59044302221
15.4,2650,2635.50167308532
15.4,2675,2629.4320419659
15.4,2700,2623.38500308646
15.4,2725,2617.36350141723
15.4,2750,2611.37003395073
15.4,2775,2605.40670066222
15.4,2800,2599.4752863276
15.4,2825,2593.57729872467
15.4,2850,2587.71404202333
15.4,2875,2581.88657474951
15.4,2900,2576.09582596569
15.4,2925,2570.34255323986
15.4,2950,2564.62739326294
15.4,2975,2558.95087257408
15.4,3000,2553.31342541848
15.4,3025,2547.71537630269
15.4,3050,2542.15701207189
15.4,3075,2536.63853001164
15.4,3100,2531.16007859584
15.4,3125,2525.7217447305
15.4,3150,2520.32358470747
15.4,3175,2514.96560651642
15.4,3200,2509.64778449178
15.4,3225,2504.37005405745
15.4,3250,2499.13235395579
15.4,3275,2493.93452229225
15.4,3300,2488.77652027435
15.4,3325,2483.65806655178
15.4,3350,2478.57915850035
15.4,3375,2473.53947257045
15.4,3400,2468.53885879514
15.4,3425,2463.57710697365
15.4,3450,2458.6540202691
15.4,3475,2453.7692853548
